feature,importance
count,2.7807087035776883
srv_count,1.7238319232015835
packet_loss,1.7036122165978027
dst_host_srv_count,1.46719020854725
dst_host_same_srv_rate,1.4199415562394762
same_srv_rate,1.2875335615453272
cpu_usage,1.2800033220358067
memory_usage,0.7605676943195766
dst_host_count,0.7177079731694332
integrity_risk,0.44305148270496764
trust_score,0.3885624057839783
dst_host_diff_srv_rate,0.3584339654848383
latency,0.24526645928494245
diff_srv_rate,0.21575234240237623
anomaly_score,0.14741569975804952
